alpha,conflict,beta,error,addrcity,addrcountry,addrhousename,addrhousenumber,addrpostcode,addrstreet,amenity,building,name,ref,designation,int_name,buildinglevels,buildinglevelsunderground,namees,tourism,rooflevels,roofshape,description,start_datebuilding,leisure,note,phone,sport,website,buildinguse,brand,brandwikidata,brandwikipedia,fueldiesel,fuelGTL_diesel,fueloctane_95,fueloctane_98,opening_hours,source,sourcedate,alt_name,shop,product,office,studio,rental,repair,sale,wheelchair,construction,operator,start_date,landuse,email,fax,stars,addrprovince,nameen,smoking,wikipedia,service,architect,nameca,namezh,official_name,wikidata,toiletswheelchair,proposed,self_service,addrfull,contactphone,dispensing,healthcare,namefr,old_name,contactemail,emergency,internet_access,internet_accessfee,rooms,ele,highway,traffic_signals,crossing,traffic_signalsdirection,tactile_paving,button_operated,traffic_signalsvibration,traffic_signalssound,bicycle,crossingisland,bench,bus,passenger_information_display,public_transport,route_ref,shelter,bin,network,lanes,maxspeed,oneway,surface,sidewalk,parkinglaneboth,width,lit,tourist_bus,access,cycleway,parkinglaneleft,parkinglaneright,crossing_ref,bridge,layer,maxspeedtype,short_name,onewaybicycle,motor_vehicle,lanesbackward,lanesforward,handrail,incline,indoor,level
building,building building:use,office,yes,,ES,,113,8018.0,Carrer de Pamplona,,office,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,MTG Metalogenia,,,,2.0,,,,,,,,,,,,https://www.mtg.es/,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,T-Systems,,,,9.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,Barcelona,ES,,120;124,8018.0,Carrer de Joan d'Ãustria,,office,Creu Roja Catalunya,,,,5.0,,Cruz Roja CataluÃ±a,,,,,,,,+34 704202224,,http://creuroja.org/,,,,,,,,,Mo-Fr 08:30-20:00,,,,,,ngo,,,,,yes,,,,,,,,,Red Cross Catalonia,no,ca:Creu Roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,Leitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,Barcelona,,,47,8018.0,Carrer de Sancho d'Avila,,office,HexÃ gon GlÃ³ries,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,Miete,,,,4.0,,,,,,,,,,,,https://www.miete.com/,,,,,,,,,,,,,,,estate_agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,2.0,,,,,,,,,,,,http://www.sevip.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,Emergia,,,,5.0,1.0,,,,,,,,,,,https://www.emergiacc.com/es/,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,coworking_space,office,Impact Hut,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,51,8005.0,Carrer de Pujades,,office,,,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,Barcelona,,,36,8018.0,Carrer de TÃ nger,,office,Tanger 36,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,106,8018.0,Carrer Ciutat de Granada,,office,AMCB arxiu intermedi,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,126,8018.0,Carrer Ãvila,,office,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,143,8018.0,Carrer de Badajoz,,office,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,Barcelona,,,112,8018.0,Carrer de Badajoz,,office,Badajoz 112,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:use,office,yes,,,,,,,,office,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,Auto AlmogÃ vers,,,,4.0,1.0,,,,,,,,,,,,,Peugeot,,,,,,,,,,,car_repair,,,,,,,,,,,,,,,,,,,parts;repair;dealer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,Barcelona,,,158,8013.0,Carrer de los Castillejos,marketplace,retail,Mercat dels Encants Vells,,,,,,,,,,,,,,+34 93 246 30 30,,http://www.encantsbcn.com,,,,,,,,,"Mo,We,Fr,Sa 09:00-20:00",,,,,,,,,,,,,AssociaciÃ³ de Venedors Mercat Fira de Bellcaire,,,,,,,,,ca:Els Encants Vells,,b720,Mercat dels Encants Vells Fira de Bellcaire,è·³è¤å¸åº,Fira de Bellcaire,Q17601242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,Ibis Plza. GlÃ²ries 22,,,,7.0,2.0,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,Aparthotel RepÃºblica,,,,4.0,3.0,,apartment,,,,,,,+34 934 864 390,,http://www.barcelona-apartment.com,,,,,,,,,,,,,,,,,,,,,,,,,larepublica@barcelona-apartment.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,Iveco Goncas,,,,1.0,,,,,,,,,,,,,,Iveco,,,,,,,,,,,car_repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,nightclub,retail,BeGood Club,,,,1.0,,BeGood Club,,,,,,,,34933007161,,http://begoodclub.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeGood Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building abandoned:building,retail,yes,,,,,,,,retail,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building construction,residential,no,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building construction,residential,no,,,,,,,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building construction,residential,no,,,,,,,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building construction,residential,no,,,,,,,,residential,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building construction,residential,no,,,,,,,,residential,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building construction,residential,no,,,,,,,,residential,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,,,,,,,crematorium,commercial,,,,,3.0,,,,,,,,,,,,https://www.sfbsa.es/es/centro/tanatori-sancho-de-avila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,Barcelona,,,100,8005.0,Carrer d'Ãlaba,,commercial,Nest City Labs,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Apocapoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,proposed,no,,,,,,,,proposed,Alaba 124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,proposed,no,Barcelona,,,131,8018.0,Carrer dels AlmogÃ vers,,proposed,Escola Auditori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,house,no,,,,,,,,house,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,house,no,,,,,,,,house,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,house,no,,,,,,,,house,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,house,no,,,,,,,,house,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,house,no,,,,,,,,house,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:part,shed,yes,,,,,,,,shed,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:part,shed,yes,,,,,,,,shed,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:part,shed,yes,,,,,,,,shed,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:part,shed,yes,,,,,,,,shed,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building building:part,shed,yes,,,,,,,,shed,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building:part building location,roof,no,,,,79,,Carrer de Pere IV,fuel,roof,Evolution - Pere IV,,,,1.0,,,,,,,,,,+34 600 22 18 58,,,,Evolution Oil,,,yes,yes,yes,yes,24-jul,https://www.evolutionoil.es/pedro-iv,,,,,,,,,,,,,,,info@evolutionoil.es,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building:part building location,roof,no,,,,,,,,roof,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building:part building location,roof,no,,,,,,,,roof,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building:part building location,roof,no,,,,,,,,roof,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building:part building location,roof,no,,,,108,8018.0,Carrer de Badajoz,,roof,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,468,8013.0,Carrer de Mallorca,pharmacy,,"FarmÃ cia Puig de Dou, M. Queralt",3621295.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:11 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Mallorca, 468",34932329456.0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,536,8025.0,carrer ProvenÃ§a,pharmacy,,"FarmÃ cia Naudin Ferrer, Ãngels",3621680.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:14 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer ProvenÃ§a, 536",34932361397.0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,459,,Carrer de ProvenÃ§a,pharmacy,,FarmÃ cia Laguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,526,8025.0,Carrer de CÃ²rsega,pharmacy,,"FarmÃ cia Audet Bonet, Gemma",3624549.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:33 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Corsega, 526",34932358299.0,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,57,8025.0,carrer Sant Antoni Maria Claret,pharmacy,,"FarmÃ cia Soler Cuyas, Guillermo",3623819.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:04 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Sant Antoni Maria Claret, 57",34932071848.0,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,507,8025.0,carrer Corsega,pharmacy,,"FarmÃ cia Bozal de Febrer, NÃºria",3623403.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:30 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Corsega, 507",34934589489.0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,334,8025.0,Carrer de Sardenya,pharmacy,,"FarmÃ cia Bricio Alonso, Beatriu",3620878.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:30 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Sardenya, 334",34932367734.0,yes,,Pharmacie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,437,8025.0,Carrer del RossellÃ³,pharmacy,,"FarmÃ cia Pena Benedicto, Elena",3620605.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:12 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer RossellÃ³, 437",34934367518.0,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,462,8025.0,carrer Rossello,pharmacy,,"FarmÃ cia Garrido RodrÃ­guez, C. i C",3623796.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:22 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Rossello, 462",34933197851.0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,97,8025.0,carrer Sant Antoni Maria Claret,pharmacy,,"FarmÃ cia Bonany Llorens, M. Pilar",3621806.0,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 08:30-14:00, Mo-Fr 16:30-21:00",Generalitat de Catalunya,03/11/2020 07:58:31 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Sant Antoni Maria Claret, 97",34934356905.0,yes,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amenity,amenity healthcare,pharmacy,yes,Barcelona,,,80,8025.0,Carrer de la IndÃºstria,pharmacy,,"FarmÃ cia Malo Cruz, Irene",3620887.0,,,,,,,,,,,,,,,,,,,,,,,,,Generalitat de Catalunya,03/11/2020 07:58:18 AM +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carrer Industria, 80",34932570620.0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
